ID,GEN,ARS,LAN,area,DH_demand,total_demand_cells,total_demand_area,share_DH,heat_density_DH,heat_density,DH_supplied_households
Großröhrsdorf_146250200_c0,Großröhrsdorf,146250200,Sachsen,0.81,699.5412115682557,2902.1663875579834,20752.7421875,3.8759512315458253,0.8636311253929083,25.620669367283956,109.0
Großröhrsdorf_146250200_c1,Großröhrsdorf,146250200,Sachsen,0.09,202.5511755850463,946.4453887939453,3684.78759765625,6.320665381608793,2.2505686176116257,40.94208441840278,17.0
Haselbachtal_146250220_c0,Haselbachtal,146250220,Sachsen,0.145,295.21354894361065,755.3064117431641,3082.97705078125,11.010485866485329,2.0359555099559357,21.261910695043102,15.0
Hoyerswerda_146250240_c1,Hoyerswerda,146250240,Sachsen,5.135,87574.24803557289,109571.26671248674,186322.109375,54.04462585358478,17.054381311698712,36.28473405550146,12070.0
Hoyerswerda_146250240_c2,Hoyerswerda,146250240,Sachsen,0.1,372.15764057330523,1227.7846194505692,2098.956298828125,20.38750277568023,3.7215764057330527,20.989562988281254,40.0
Hoyerswerda_146250240_c3,Hoyerswerda,146250240,Sachsen,0.07,333.7439680851357,401.7533073425293,915.69384765625,41.90864495894229,4.767770972644796,13.081340680803574,121.0
Kamenz_146250250_c0,Kamenz,146250250,Sachsen,2.83,17626.133218498962,29003.441283404827,69289.390625,29.250331761407843,6.2283156249112945,24.483883613074205,3798.0
Königswartha_146250280_c0,Königswartha,146250280,Sachsen,0.425,5099.908297328464,7264.414723396301,13222.58984375,44.34925516611518,11.999784229008151,31.111976102941178,684.0
Lauta_146250310_c0,Lauta,146250310,Sachsen,0.805,1577.2445208289646,3875.436330795288,19214.5234375,9.438650387150089,1.9593099637626892,23.868973214285717,255.0
Lauta_146250310_c2,Lauta,146250310,Sachsen,0.13,1802.07253879631,2462.1633933782578,3174.76025390625,65.26822831093959,13.862096452279308,24.421232722355768,271.0
Lauta_146250310_c3,Lauta,146250310,Sachsen,0.04,184.379734597796,1177.55224609375,3122.7822265625,6.789096418776721,4.6094933649449,78.0695556640625,15.0
Lauta_146250310_c4,Lauta,146250310,Sachsen,0.17,2508.3278320299164,3136.4880340099335,3256.026123046875,88.58025097502116,14.754869600175981,19.15309484145221,281.0
Lohsa_146250330_c0,Lohsa,146250330,Sachsen,0.16,274.64112342596627,858.5735778808594,2738.04443359375,11.533618052085306,1.7165070214122893,17.112777709960938,24.0
Neukirch/Lausitz_146250380_c1,Neukirch/Lausitz,146250380,Sachsen,0.19,210.3810878351573,403.6754722595215,3656.992919921875,6.614896705183369,1.1072688833429332,19.247331157483554,16.0
Oßling_146250420_c1,Oßling,146250420,Sachsen,0.105,226.7929717736125,649.0893325805664,2405.760009765625,10.839712916410688,2.159933064510595,22.912000093005954,22.0
Ottendorf-Okrilla_146250430_c0,Ottendorf-Okrilla,146250430,Sachsen,0.75,1187.1679738394425,4091.6020011901855,16358.169921875,8.344838709377441,1.5828906317859235,21.810893229166666,268.0
Radeberg_146250480_c0,Radeberg,146250480,Sachsen,0.175,682.9199991578057,2203.699909210205,5980.70654296875,13.129791446056219,3.9023999951874613,34.17546595982143,59.0
Radeberg_146250480_c1,Radeberg,146250480,Sachsen,0.035,245.48058266914023,577.0899505615234,1700.201416015625,16.601879673289975,7.013730933404008,48.57718331473215,14.0
Radeberg_146250480_c2,Radeberg,146250480,Sachsen,0.995,8946.01181577318,15969.06723022461,33760.38671875,30.469304755906617,8.99096664901827,33.930036903266334,2107.0
Radeberg_146250480_c3,Radeberg,146250480,Sachsen,0.12,4322.238635952946,5472.708124160767,9150.3359375,54.31405058378701,36.018655299607886,76.25279947916667,714.0
Radibor_146250490_c0,Radibor,146250490,Sachsen,0.23,1399.4517198232147,2583.8126764297485,3634.64453125,44.27274673129146,6.084572694883543,15.80280230978261,133.0
Schirgiswalde-Kirschau_146250525_c0,Schirgiswalde-Kirschau,146250525,Sachsen,0.875,488.805725405574,1659.6145057678223,13406.2470703125,4.192466057196604,0.5586351147492274,15.321425223214286,44.0
Schwepnitz_146250550_c0,Schwepnitz,146250550,Sachsen,0.065,449.43525751588265,809.8620178699493,1471.263427734375,35.125069287122166,6.914388577167426,22.63482196514423,199.0
Sohland a.d.Spree_146250560_c2,Sohland a.d.Spree,146250560,Sachsen,0.09,183.61967166828927,581.7497520446777,2587.630859375,8.15938404015945,2.040218574092103,28.751453993055556,16.0
Weißenberg_146250610_c0,Weißenberg,146250610,Sachsen,0.18,267.728881220631,1087.1203308105469,4034.23486328125,7.630878434283803,1.48738267344795,22.412415907118056,24.0
Wilthen_146250630_c0,Wilthen,146250630,Sachsen,0.775,8187.222552192818,12318.114169597626,26424.060546875,35.626858597862615,10.564158131861701,34.09556199596775,1037.0
Wittichenau_146250640_c0,Wittichenau,146250640,Sachsen,0.55,600.0900825774447,3297.2074546813965,15783.365234375,4.371770276414165,1.091072877413536,28.697027698863643,55.0
Bischofswerda_146255207_c0,Bischofswerda,146255207,Sachsen,0.985,9774.276333835967,17314.371666908264,43506.98828125,25.832478831666144,9.923123181559358,44.16953125,1538.0
Großpostwitz/O.L._146255212_c0,Großpostwitz/O.L.,146255212,Sachsen,0.06,198.21658513617487,435.3999938964844,1817.093994140625,12.543048076045116,3.303609752269581,30.28489990234375,9.0
Großpostwitz/O.L._146255212_c2,Großpostwitz/O.L.,146255212,Sachsen,0.21,232.6357555387249,727.0708236694336,2066.9599609375,12.941508188919828,1.1077893120891662,9.842666480654762,30.0
Königsbrück_146255218_c1,Königsbrück,146255218,Sachsen,0.775,1602.3894785353382,4079.3837490081787,14268.88671875,12.912742319591079,2.0675993271423723,18.41146673387097,265.0
Pulsnitz_146255231_c1,Pulsnitz,146255231,Sachsen,0.995,5093.100750473893,10352.400842666626,28610.17578125,20.469264184214,5.118694221581801,28.75394550879397,788.0
Pulsnitz_146255231_c3,Pulsnitz,146255231,Sachsen,0.03,195.88871446483748,785.7436676025391,1854.9539794921875,12.142741975410765,6.529623815494583,61.83179931640625,12.0
Pulsnitz_146255231_c4,Pulsnitz,146255231,Sachsen,0.05,191.99858594288548,516.8366088867188,865.9085083007812,25.495674924144694,3.83997171885771,17.318170166015626,14.0
Am Klosterwasser_146255501_c1,Am Klosterwasser,146255501,Sachsen,0.03,187.48328615132618,681.8309364318848,1427.0501708984375,15.106498265530414,6.2494428717108725,47.568339029947914,15.0
Boxberg/O.L._146260060_c0,Boxberg/O.L.,146260060,Sachsen,0.235,727.8207240515042,2197.735466003418,3754.687744140625,22.289025572101046,3.097109464048954,15.977394655917553,157.0
Ebersbach-Neugersdorf_146260085_c0,Ebersbach-Neugersdorf,146260085,Sachsen,1.565,11999.912034716557,18629.41655921936,43492.29296875,31.72533725960462,7.667675421544126,27.790602535942494,2174.0
Ebersbach-Neugersdorf_146260085_c1,Ebersbach-Neugersdorf,146260085,Sachsen,0.435,2081.9700773243258,3895.8513412475586,12098.1953125,19.78765737569981,4.786138108791554,27.811943247126436,251.0
Görlitz_146260110_c0,Görlitz,146260110,Sachsen,0.01,185.29719277760094,831.7367401123047,2863.18505859375,7.441490142557624,18.529719277760094,286.318505859375,10.0
Görlitz_146260110_c3,Görlitz,146260110,Sachsen,0.825,11944.922372270004,18140.60535812378,34163.60546875,40.203153842545134,14.478693784569701,41.41043087121212,2344.0
Görlitz_146260110_c4,Görlitz,146260110,Sachsen,6.19,55549.59619746269,122468.9892359972,281990.25,22.650996017012716,8.974086623176527,45.55577544426495,8693.0
Herrnhut_146260180_c0,Herrnhut,146260180,Sachsen,0.005,221.97441006710167,686.7903518676758,1135.489501953125,22.478135097183642,44.394882013420336,227.097900390625,23.0
Kottmar_146260245_c0,Kottmar,146260245,Sachsen,0.065,362.3667098974707,1055.9508476257324,4275.75732421875,9.744862923381234,5.574872459961087,65.78088191105769,22.0
Krauschwitz i.d.O.L._146260250_c0,Krauschwitz i.d.O.L.,146260250,Sachsen,0.245,335.2732812783086,810.688606262207,3115.0693359375,12.37575539716233,1.3684623725645249,12.714568718112245,57.0
Mittelherwigsdorf_146260310_c0,Mittelherwigsdorf,146260310,Sachsen,0.01,291.05485005391756,502.77055740356445,1845.5081787109375,18.134239885171226,29.105485005391756,184.55081787109376,9.0
Niesky_146260370_c0,Niesky,146260370,Sachsen,1.87,12955.367552061358,21732.45841217041,46054.48828125,32.345827603542574,6.928004038535486,24.628068599598933,1988.0
Oderwitz_146260390_c1,Oderwitz,146260390,Sachsen,0.25,366.0668588157129,934.2546095848083,4964.89111328125,8.477956312790198,1.4642674352628517,19.859564453125,24.0
Ostritz_146260420_c0,Ostritz,146260420,Sachsen,0.73,5602.423143830841,10736.67305445671,13684.9521484375,47.073134088935994,7.674552251823069,18.746509792380138,600.0
Zittau_146260610_c1,Zittau,146260610,Sachsen,3.96,18983.33944842911,48167.2884311676,138026.296875,15.814347118677688,4.7937725879871484,34.85512547348485,3891.0
Zittau_146260610_c2,Zittau,146260610,Sachsen,0.01,362.25797362245027,1169.0396270751953,2309.7431640625,18.034111604187597,36.225797362245025,230.97431640625,37.0
Bad Muskau_146265203_c1,Bad Muskau,146265203,Sachsen,0.24,613.9633992637682,996.5381393432617,4196.05859375,16.824471385617176,2.5581808302657008,17.483577473958334,29.0
